edades_train,pred_train
24.0,40.351306285601986
44.0,45.878719971386474
64.37,61.32946010639186
18.15,35.97223710453717
21.0,26.67481876181504
75.0,76.62261026096242
83.33,73.2410812640851
80.0,73.47724848980027
42.0,52.92585294839084
77.0,71.67550872166632
38.0,40.646596879144674
32.57,39.916591827739055
29.28,42.113035772601386
71.04,68.21005127550357
71.0,67.39274465035335
68.0,51.65359167565713
79.85,59.78017332699986
33.0,36.20105859760872
53.0,46.200081745571865
19.0,24.994474314405114
21.0,32.29766551015811
21.4,31.382080038701986
70.0,51.318249534900445
73.0,65.68211187155435
71.0,56.382360023023395
26.0,43.626405529204966
29.34,32.547636252224606
50.6,51.91255234218946
45.0,35.025534128243066
23.0,27.399981967180278
58.0,39.733525456185696
26.36,26.291285164742096
22.0,38.039036534760726
38.0,38.26711440043728
24.0,24.52222096997369
18.0,26.808791596061692
45.8,43.67518102727241
65.0,54.242505840499604
53.74,46.448810597978635
26.0,29.002400839299572
21.0,37.65234398898779
28.0,33.99925196066897
22.0,38.211657470772785
62.0,43.292363808574635
21.0,35.32906155054809
20.0,29.964798704476298
79.0,68.8446541266616
35.0,55.88331445732494
56.43805612594114,47.01823675159202
73.36,67.26707692074986
60.41067761806981,62.480757652166915
62.0,57.363122255344905
24.66,32.11939527700808
23.0,41.151624931471524
22.2,22.749305593411467
83.0,60.644493310874914
22.0,35.914037582833615
34.0,41.11493691804066
61.0,63.90324782883515
20.0,20.00763307947631
20.0,33.36254137132606
41.22929500342232,34.80797623388158
46.0,37.741786607814284
69.27583846680356,46.964846378403095
37.0,40.387975973348055
80.0,69.1575658977111
55.0,51.977341329271596
19.0,41.03007229170425
35.44695414099932,41.03576118003849
26.0,33.81584116022939
30.7,26.782829564071896
60.0,49.295744029393624
24.0,32.44105872650215
67.0,49.76659163513242
20.0,23.842889512856676
61.0,45.373332581671654
36.25,35.5358358130737
51.0,31.795783637111718
20.0,24.25328887411033
61.48665297741273,62.08071590798284
55.26,45.71827695246504
58.0,51.562362198880784
22.0,22.207048218331195
27.0,38.89714928289072
20.0,25.87697124330182
40.0,36.2227515197728
30.18206707734429,43.8925200999577
47.3,36.570178130221734
69.0,60.7351902778603
30.0,40.718707242927195
19.0,13.49081870844591
71.0,59.3255440567133
62.0,49.47661849289526
21.0,24.14263339540197
76.0,74.49562328000388
30.78,19.49546002993298
52.0,41.90183642285953
21.0,17.440486153957096
20.0,18.56199685468916
32.0,42.330910473851304
39.0,37.835526229307675
39.0,63.89909399932728
21.0,21.153868295249225
32.42436687200548,32.382938241352456
49.68,44.55259788536246
59.73,51.886512634203434
20.0,24.86337199061346
56.0,44.611870407174486
26.05,34.61958292824487
35.33,38.23651980357845
47.0,47.418570148388774
25.0,25.74326594609459
20.0,25.393433442810238
20.0,25.001658797911816
38.0,39.875261732095545
67.47,50.40128702237259
22.0,31.03923008284412
19.6,36.84466295652631
37.0,32.81318383641516
80.0,74.99439048967561
18.0,37.16193086046158
79.0,61.43800882164294
62.0,43.27556571789344
26.0,37.56344799977708
26.0,30.951475510566652
81.28,79.10235087383082
63.0,63.959888620662355
26.0,40.6262142719124
68.0,54.87690716663112
20.0,34.31607219408659
47.61,52.313429388207986
43.0,43.76911341723514
25.52,24.046845739223375
20.0,26.79092353362319
64.0,51.26151713024467
45.0,52.26043037225694
21.82,30.17253429737053
53.75,44.588290388958036
38.7,37.924432459498306
23.0,29.992361741154056
20.0,26.72956371677754
74.0,65.90891749511694
36.0,36.97216687919244
58.0,55.629974997818266
27.02,40.5612038081696
61.0,61.007177283404864
26.0,37.56475513275067
19.0,36.198643990074764
32.0,36.345840013826006
20.0,24.872469279554466
18.4,26.397095062112726
38.0,29.530616680087007
51.0,44.73189220875634
44.0,39.89470018399662
25.0,36.65957201500321
18.0,28.805483059044345
55.0,54.4382603168029
25.0,33.41261390642809
74.0,79.31970003884666
24.0,18.98988857887485
27.0,48.40466044248527
22.0,35.63432454466195
21.0,14.581228342074702
24.0,33.12569691287839
20.0,31.468246596300492
56.11,55.72045816060637
66.0,49.86711384844779
80.0,64.93090167204964
46.0,47.67251899141328
51.0,40.28322885431353
23.0,26.583684872740864
23.99,17.415187086394223
21.0,31.868551254656147
44.0,37.94959553279463
59.0,56.08150217750559
71.36,66.7636156225774
19.0,11.595246895881985
60.0,59.888152086366155
33.516769336071185,37.757792458506884
31.4,42.07244235920988
66.37371663244353,44.33757876967849
38.0,30.596379460523657
42.0,38.19507796947231
20.0,29.630787972837176
46.0,42.853019680060186
48.101300479123886,43.96141860640573
31.0,37.21960130072662
22.0,38.25426330477837
60.0,48.249245534974555
55.65503080082136,53.22045992396113
83.0,63.80506450697135
67.0,52.786913535615206
50.0,40.5062561182766
21.0,33.92995124484169
20.0,24.593514091734004
78.0,61.83794788421365
57.36,42.13239199975216
24.0,35.423648177074334
34.20670773442848,56.29284930200511
45.0,46.88916338465043
24.142368240930868,33.19327020148753
59.0,44.36012948122632
22.7,16.70806706565552
63.4,49.40619525754627
42.0,45.41481690019581
43.0,46.76809546578717
19.85,33.7912102327042
42.0,50.78304807618488
63.0,41.73938286774351
44.99,54.083940431509475
24.0,28.206762524030744
30.0,27.75972767891512
40.55578370978782,42.874673948000414
56.0,58.89974734014436
72.0,65.0625562070032
74.0,55.954971375895084
22.0,26.56700336780982
79.0,64.44986262843116
23.0,22.51758406493865
65.0,58.91768610558914
45.6,43.613758271656174
18.0,29.150492243548744
