edades_train,pred_train
24.0,26.295544
44.0,47.180004
64.37,55.75897
18.15,28.373768
21.0,19.071531
75.0,80.9455
83.33,78.44622
80.0,77.343765
42.0,49.531128
77.0,76.33423
38.0,41.895462
32.57,53.397522
29.28,27.548378
71.04,71.374886
71.0,63.40827
68.0,68.34266
79.85,68.33186
33.0,33.118492
53.0,51.768906
19.0,24.056087
21.0,24.338745
21.4,25.61937
70.0,52.378716
73.0,78.56771
71.0,62.50091
26.0,31.831676
29.34,23.593725
50.6,54.509953
45.0,40.550797
23.0,22.789925
58.0,50.429962
26.36,37.257206
22.0,21.111973
38.0,34.692074
24.0,21.716621
18.0,20.230413
45.8,54.671
65.0,54.973106
53.74,59.086403
26.0,27.503407
21.0,28.237743
28.0,19.09954
22.0,33.265163
62.0,54.152267
21.0,18.199982
20.0,29.334457
79.0,73.664276
35.0,51.889404
56.43805612594114,57.960506
73.36,76.28474
60.41067761806981,71.47636
62.0,45.180737
24.66,29.481365
23.0,28.596813
22.2,19.987576
83.0,82.35152
22.0,25.232376
34.0,44.054092
61.0,65.79233
20.0,18.60401
20.0,32.018364
41.22929500342232,48.730736
46.0,51.54665
69.27583846680356,69.221306
37.0,44.82239
80.0,77.55495
55.0,60.012783
19.0,23.710337
35.44695414099932,23.266287
26.0,22.731932
30.7,20.366463
60.0,55.5976
24.0,19.43029
67.0,57.560677
20.0,18.363852
61.0,53.54503
36.25,22.03226
51.0,44.011154
20.0,19.898066
61.48665297741273,68.46471
55.26,51.803867
58.0,50.480637
22.0,19.606611
27.0,43.45967
20.0,21.274632
40.0,50.58059
30.18206707734429,37.89188
47.3,32.186634
69.0,78.20401
30.0,37.78067
19.0,18.531828
71.0,72.70274
62.0,56.637703
21.0,19.091951
76.0,78.81743
30.78,19.995207
52.0,37.941902
21.0,18.92175
20.0,18.565937
32.0,31.257648
39.0,37.675602
39.0,67.14011
21.0,24.319523
32.42436687200548,22.029804
49.68,38.217903
59.73,66.656525
20.0,19.52045
56.0,53.516132
26.05,27.765003
35.33,33.731922
47.0,54.609543
25.0,26.607582
20.0,19.3318
20.0,20.814491
38.0,51.250843
67.47,53.183716
22.0,19.704958
19.6,22.025064
37.0,34.9853
80.0,83.20674
18.0,22.006504
79.0,80.0539
62.0,49.64659
26.0,29.744156
26.0,25.360313
81.28,81.786064
63.0,59.746662
26.0,21.241795
68.0,65.34547
20.0,28.313618
47.61,51.69095
43.0,47.38675
25.52,21.549856
20.0,19.205564
64.0,71.18946
45.0,58.705574
21.82,28.390495
53.75,51.47965
38.7,25.822483
23.0,21.436987
20.0,19.463312
74.0,71.56089
36.0,34.37362
58.0,67.54944
27.02,25.235847
61.0,68.339226
26.0,31.770401
19.0,22.897144
32.0,29.766724
20.0,20.182838
18.4,18.390892
38.0,39.769234
51.0,56.59645
44.0,35.513668
25.0,31.442436
18.0,18.6056
55.0,56.20217
25.0,26.330143
74.0,83.070404
24.0,19.411222
27.0,38.867638
22.0,20.2457
21.0,18.270279
24.0,24.271244
20.0,24.28172
56.11,60.379322
66.0,65.797
80.0,79.37129
46.0,53.854836
51.0,36.541904
23.0,18.27887
23.99,19.43127
21.0,19.905066
44.0,33.42238
59.0,59.198277
71.36,70.883156
19.0,18.308125
60.0,55.024673
33.516769336071185,47.523964
31.4,35.066174
66.37371663244353,46.34977
38.0,31.556082
42.0,47.49807
20.0,20.96376
46.0,48.223747
48.101300479123886,48.590378
31.0,24.637094
22.0,21.869053
60.0,52.37916
55.65503080082136,53.527687
83.0,78.64664
67.0,53.173126
50.0,53.356018
21.0,27.191795
20.0,20.398853
78.0,73.83769
57.36,54.38564
24.0,21.387032
34.20670773442848,59.689274
45.0,54.54825
24.142368240930868,24.561436
59.0,49.55777
22.7,19.364296
63.4,49.678272
42.0,36.59762
43.0,50.76292
19.85,22.503296
42.0,48.602676
63.0,48.357407
44.99,61.81964
24.0,20.669926
30.0,20.75715
40.55578370978782,48.575745
56.0,59.063248
72.0,69.88098
74.0,73.63283
22.0,20.112381
79.0,61.620983
23.0,19.956015
65.0,57.454796
45.6,48.071022
18.0,23.587421
35.36,35.327606
61.0,66.9816
40.0,29.016241
61.0,53.092846
74.96,80.18106
35.0,52.31989
22.0,24.540806
21.0,19.787737
64.0,63.50907
42.0,43.447006
21.0,18.732056
27.0,22.285414
64.0,63.65074
22.0,26.807146
23.0,27.614765
79.0,57.142822
43.0,52.976463
83.0,82.68421
45.0,43.204605
20.62,21.6114
23.1,19.410635
25.0,20.502848
47.0,38.130512
37.0,46.877113
71.0,77.33432
47.0,32.432617
21.0,20.624352
42.0,50.761757
30.0,25.416405
21.15263518138261,29.69101
19.0,23.618063
66.01505817932923,68.1149
49.0,59.536713
48.0,52.0435
32.82,28.027233
60.0,62.864456
82.0,84.56198
37.0,37.720444
27.0,25.307247
61.0,67.07019
38.0,28.326609
24.1,34.285004
20.2,22.212254
23.48802190280629,21.911652
47.0,45.16238
75.0,82.92021
22.44,19.341331
79.0,84.96292
55.0,56.38788
50.1,67.6682
58.0,64.42728
26.0,32.457397
20.0,18.696854
42.0,42.192425
80.65,73.5076
28.0,33.299873
52.63,54.619358
34.0,23.834227
40.0,26.363815
60.0,70.66058
29.0,27.094177
35.0,25.667238
21.0,24.17202
47.0,54.698837
27.0,35.372643
21.58,30.700497
20.0,20.192818
37.0,41.58016
58.0,46.673336
33.0,43.927162
51.0,45.255844
53.11,54.90103
46.0,40.77376
85.0,74.86227
41.0,20.871853
46.5,41.44864
51.0,47.693405
25.0,32.891273
60.0,56.346302
71.0,66.6929
33.13,33.34721
21.4,23.658375
38.3,42.928413
70.0,68.20123
18.0,21.76965
24.0,19.889465
72.0,68.91112
82.93,72.709114
21.1,18.615503
43.19,50.81176
26.0,25.370481
42.15195071868583,49.252785
